Feature,Importance
numeric__tenure,0.14164517397567974
numeric__TotalCharges,0.12749171715282845
categorical__Contract_Month-to-month,0.09052606932808373
numeric__MonthlyCharges,0.08941411328493716
categorical__OnlineSecurity_No,0.05193190215025745
categorical__InternetService_Fiber optic,0.046516651230772615
categorical__TechSupport_No,0.04637074490737259
categorical__PaymentMethod_Electronic check,0.04100811827504611
categorical__Contract_Two year,0.029977390994175422
categorical__OnlineBackup_No,0.01974523373058441
categorical__InternetService_DSL,0.01810786341698137
categorical__DeviceProtection_No,0.014657313934898107
categorical__PaperlessBilling_No,0.01451561231376063
categorical__PaperlessBilling_Yes,0.014324026806189357
categorical__Contract_One year,0.014099103465400754
categorical__OnlineSecurity_Yes,0.01319669356881675
numeric__SeniorCitizen,0.011500621554287755
categorical__MultipleLines_Yes,0.01105944573209781
categorical__gender_Male,0.011024383628140729
categorical__gender_Female,0.010791218865608358
categorical__TechSupport_Yes,0.010712916549427699
categorical__Dependents_Yes,0.010493575536705883
categorical__MultipleLines_No,0.010195987297110274
categorical__Partner_No,0.009868731219444161
categorical__PaymentMethod_Credit card (automatic),0.009701435509438262
categorical__OnlineBackup_Yes,0.009695210930933082
categorical__Partner_Yes,0.009325823598705277
categorical__StreamingTV_Yes,0.009156893313743671
categorical__Dependents_No,0.008980437998312912
categorical__StreamingMovies_No,0.008857982128902347
categorical__StreamingMovies_Yes,0.00879909480808432
categorical__PaymentMethod_Bank transfer (automatic),0.008735876807074293
categorical__PaymentMethod_Mailed check,0.008391564441683595
categorical__StreamingTV_No,0.008253850113207456
categorical__DeviceProtection_Yes,0.008091403355556836
categorical__StreamingMovies_No internet service,0.007665048591336069
categorical__TechSupport_No internet service,0.005594559955311242
categorical__StreamingTV_No internet service,0.005279143028807116
categorical__InternetService_No,0.004455871812625196
categorical__DeviceProtection_No internet service,0.004073193991437985
categorical__OnlineBackup_No internet service,0.003370524509404238
categorical__MultipleLines_No phone service,0.003336972454429463
categorical__OnlineSecurity_No internet service,0.0031385427501076355
categorical__PhoneService_No,0.003036535556091746
categorical__PhoneService_Yes,0.002885425426199887
